90
0	1	0	200
1	2	10	50
2	4	20	300
3	3	30	400
4	2	40	250
5	3	50	450
6	1	60	500
7	6	70	150
8	2	80	175
9	3	90	50
10	1	100	750
11	5	110	120
12	6	120	175
13	1	130	530
14	2	140	360
15	4	150	230
16	2	160	350
17	6	170	25
18	1	180	400
19	3	190	370
20	2	200	240
21	3	210	260
22	7	220	325
23	7	230	180
24	4	240	330
25	1	250	180
26	3	300	65
27	2	320	480
28	1	340	610
29	3	360	340
30	2	380	290
31	7	420	150
32	3	440	190
33	1	480	170
34	3	500	230
35	1	530	490
36	4	560	200
37	5	590	220
38	3	600	225
39	1	620	130
40	1	650	450
41	5	700	140
42	2	750	450
43	2	800	340
44	1	850	520
45	3	900	270
46	4	1000	220
47	3	1020	300
48	7	1100	475
49	4	1120	525
50	2	1130	10
51	4	1140	420
52	1	1150	275
53	7	1170	430
54	1	1200	375
55	3	1210	450
56	4	1240	420
57	7	1290	100
58	6	1400	110
59	4	1420	295
60	5	1500	60
61	4	1530	700
62	3	1640	260
63	2	1670	340
64	4	1700	60
65	1	1710	210
66	3	1740	80
67	3	1790	375
68	6	1800	125
69	5	1820	120
70	2	1930	640
71	6	1940	450
72	1	1950	170
73	3	2000	140
74	1	2100	280
75	3	2200	175
76	2	2300	55
77	6	2400	140
78	2	2500	180
79	5	2700	160
80	4	2900	230
81	4	3000	340
82	2	3020	65
83	2	3040	200
84	1	3100	80
85	1	3200	110
86	4	3300	40
87	1	3400	450
88	4	3500	280
89	2	3600	100
